,Year,Rank,Team,Winning rate
98,2014,2,³Ø¼¾,0.619
99,2014,3,NC,0.551
100,2014,4,LG,0.492
101,2014,5,SK,0.484
102,2014,6,µÎ»ê,0.465
103,2014,7,·Ôµ¥,0.457
104,2014,8,KIA,0.422
105,2014,9,ÇÑÈ­,0.389
106,2015,1,µÎ»ê,0.549
107,2015,2,»ï¼º,0.611
108,2015,3,NC,0.596
109,2015,4,³Ø¼¾,0.545
110,2015,5,SK,0.486
111,2015,6,ÇÑÈ­,0.472
112,2015,7,KIA,0.465
113,2015,8,·Ôµ¥,0.462
114,2015,9,LG,0.451
115,2015,10,kt,0.364
116,2016,1,µÎ»ê,0.650
117,2016,2,NC,0.589
118,2016,3,³Ø¼¾,0.538
119,2016,4,LG,0.500
120,2016,5,KIA,0.490
121,2016,6,SK,0.479
122,2016,7,ÇÑÈ­,0.468
123,2016,8,·Ôµ¥,0.458
124,2016,9,»ï¼º,0.455
125,2016,10,kt,0.373
126,2017,1,KIA,0.608
127,2017,2,µÎ»ê,0.596
128,2017,3,·Ôµ¥,0.563
129,2017,4,NC,0.560
130,2017,5,SK,0.524
131,2017,6,LG,0.489
132,2017,7,³Ø¼¾,0.486
133,2017,8,ÇÑÈ­,0.430
134,2017,9,»ï¼º,0.396
135,2017,10,kt,0.347
136,2018,1,SK,0.545
137,2018,2,µÎ»ê,0.646
138,2018,3,ÇÑÈ­,0.535
139,2018,4,³Ø¼¾,0.521
140,2018,5,KIA,0.486
141,2018,6,»ï¼º,0.486
142,2018,7,·Ôµ¥,0.479
143,2018,8,LG,0.476
144,2018,9,KT,0.418
145,2018,10,NC,0.406
146,2019,1,µÎ»ê,0.615
147,2019,2,Å°¿ò,0.601
148,2019,3,SK,0.615
149,2019,4,LG,0.552
150,2019,5,NC,0.514
151,2019,6,KT,0.500
152,2019,7,KIA,0.437
153,2019,8,»ï¼º,0.420
154,2019,9,ÇÑÈ­,0.403
155,2019,10,·Ôµ¥,0.340
156,2020,1,NC,0.601
157,2020,2,µÎ»ê,0.564
158,2020,3,KT,0.566
159,2020,4,LG,0.564
160,2020,5,Å°¿ò,0.559
161,2020,6,KIA,0.507
162,2020,7,·Ôµ¥,0.497
163,2020,8,»ï¼º,0.460
164,2020,9,SK,0.357
165,2020,10,ÇÑÈ­,0.326
166,2021,1,KT,0.563
167,2021,2,µÎ»ê,0.522
168,2021,3,»ï¼º,0.563
169,2021,4,LG,0.554
170,2021,5,Å°¿ò,0.511
171,2021,6,SSG,0.508
172,2021,7,NC,0.496
173,2021,8,·Ôµ¥,0.478
174,2021,9,KIA,0.433
175,2021,10,ÇÑÈ­,0.371
